osm_id,code,fclass,name,lat,Long
"7161163473","2083",kindergarten,Mount Zion,3.8716744,11.4646062
"7161192170","2083",kindergarten,Collège Venus,3.8842008,11.4641556
"7161197696","2083",kindergarten,The Good Samaritan Bilingual School,3.8926172,11.4582608
"7161197714","2083",kindergarten,École Publique D'ekorezok,3.8853324,11.4574219
"7161208628","2083",kindergarten,Saint Vincent De Paul,3.8915040,11.4678530
"7161211483","2083",kindergarten,École Maternelle Publique Camp Sonel Oyom-abang,3.8864824,11.4596411
"7161216753","2083",kindergarten,Centre d'alphabétisation Alpha,3.8772534,11.4718150
"7161217764","2083",kindergarten,Groupe Scolaire Bilingue Onana Jeanne,3.8921372,11.4730689
"7161221319","2083",kindergarten,La Certitude,3.8870706,11.4677751
"7161221320","2083",kindergarten,Ecole Maternelle Certitude,3.8867588,11.4677590
"7161228341","2083",kindergarten,The Good Samaritan Bilingual School,3.8949966,11.4683211
"7161228342","2083",kindergarten,Groupe Scolaire Bilingue Les Salomons,3.8920357,11.4634441
"7161240850","2083",kindergarten,The Good Samaritan Bilingual School,3.8924018,11.4626209
"7161243264","2083",kindergarten,American School Nkolbisson,3.8797574,11.4583825
"7161243267","2083",kindergarten,Groupe Scolaire,3.8755467,11.4644528
"7161244399","2083",kindergarten,Floralys,3.8872227,11.4617155
"7161250757","2083",kindergarten,Groupe Scolaire Bilingue Laic Les Mbohmelites,3.8778089,11.4612168
"7161251877","2083",kindergarten,Groupe Scolaire Prive Laic Bilingue Leq Princes Intelligents,3.8774611,11.4597159
"7161255649","2083",kindergarten,École Publique De Nkolbisson,3.8748301,11.4541889
"7161255650","2083",kindergarten,Groupe Scolaire Bilingue De Nkolbisson,3.8754370,11.4544548
"7161258285","2083",kindergarten,Cancan Promised Land,3.8865393,11.4613058
"7161260700","2083",kindergarten,Groupe Scolaire Bilingue Les Premices,3.8829842,11.4563373
"7161262654","2083",kindergarten,École Maternelle Bilingue Les Grandes Merveilles,3.8827954,11.4803782
"7161263691","2083",kindergarten,La Petite Plume,3.8847096,11.4633019
"7161269904","2083",kindergarten,Lucky Kids,3.8811805,11.4701341
"7161269905","2083",kindergarten,Lucky Kids Complexe Scolaire Bilingue,3.8810233,11.4703181
"7161271269","2083",kindergarten,Ecole Bilingue The Genius,3.8726532,11.4582853
"7161275151","2083",kindergarten,Groupe Scolaire Privée Laïc La Ruche,3.8791690,11.4729895
"7161278501","2083",kindergarten,École Bilingue Gabriella,3.8747578,11.4744112
"7161278502","2083",kindergarten,Ecole Les Princes Sages,3.8746682,11.4728520
"7161278894","2083",kindergarten,Caleb Bilingual School,3.8700008,11.4735792
"7161278895","2083",kindergarten,Caleb N/p School,3.8703181,11.4744999
"7161278900","2083",kindergarten,Groupe Scolaire Privée Laïc La Ruche,3.8750402,11.4688105
"7161287291","2083",kindergarten,Crèches Garderie Josyves,3.8714593,11.4695487
"7161359369","2083",kindergarten,E Amazing Grace Plus,3.8744438,11.4750856
"7161359370","2083",kindergarten,Ecole Primaire Catholique Saint Esprit Aboli Etetak,3.8815045,11.4811208
"7161394280","2083",kindergarten,Complexe Scolaire Thecla,3.8730563,11.4801536
"7161401144","2083",kindergarten,Groupe Scolaire Bilingue Arora,3.8694984,11.4762819
"7161412764","2083",kindergarten,Groupe Scolaire Bilingue Les Colombes Parfaites,3.8755979,11.4840244
"7161426106","2083",kindergarten,,3.8786858,11.4733636
"7161426703","2083",kindergarten,Ecole Bilingue Saint Joseph Calasanz,3.8769604,11.4813499
"7161434676","2083",kindergarten,Ecole Primaire Catholique Saint Esprit Aboli Etetak,3.8787898,11.4827715
"7161437074","2083",kindergarten,Groupe Scolaire Bilingue Les Marguerites,3.8734029,11.4788662
"7161935059","2304",pub,Le Cuba,3.8653782,11.5286818
"7161948584","2304",pub,,3.8875953,11.5407649
"7161967086","2304",pub,,3.8918875,11.5401506
"7161967087","2304",pub,Matango,3.8919472,11.5426267
"7161967088","2304",pub,Cave,3.8915740,11.5469795
"7161971937","2304",pub,Vente De Matango,3.8756976,11.5404940
"7161971953","2304",pub,Bili Bili,3.8918292,11.5333709
"7161973408","2304",pub,Matango,3.8884477,11.5661486
"7161986015","2304",pub,,3.8817563,11.5506368
"7161986016","2304",pub,Cabaret,3.8873397,11.5511798
"7161986308","2304",pub,,3.8876417,11.5593608
"7161986309","2304",pub,Matango,3.8854383,11.5583724
"7161991858","2304",pub,Matango,3.8996990,11.5462634
"7162000941","2304",pub,Bili Bili,3.8918292,11.5333707
"7162005298","2304",pub,,3.9096230,11.5424505
"7162007283","2303",cafe,,3.8754120,11.5370363
"7162007284","2303",cafe,,3.8748371,11.5377399
"7162007397","2304",pub,,3.9229193,11.5613612
"7162007440","2303",cafe,,3.8742520,11.5432700
"7162007441","2303",cafe,Full Option,3.8738048,11.5422351
"7162019754","2303",cafe,Chez Lucie,3.8710893,11.5397923
"7162019755","2303",cafe,Café Plus Le Rapido,3.8720793,11.5399038
"7162019756","2303",cafe,,3.8722308,11.5398687
"7162019757","2303",cafe,Abz,3.8717427,11.5400717
