"Country or Area","Commodity - Transaction","Year","Unit","Quantity","Quantity Footnotes"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","2000","Kilowatts,  thousand","723",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","1999","Kilowatts,  thousand","721",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","1998","Kilowatts,  thousand","721",""
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","1997","Kilowatts,  thousand","728","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","1996","Kilowatts,  thousand","528","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","1995","Kilowatts,  thousand","528","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","1994","Kilowatts,  thousand","528","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","1993","Kilowatts,  thousand","528","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","1992","Kilowatts,  thousand","528","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","1991","Kilowatts,  thousand","528","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public hydro","1990","Kilowatts,  thousand","528","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer hydro","1999","Kilowatts,  thousand","2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer hydro","1998","Kilowatts,  thousand","2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer hydro","1997","Kilowatts,  thousand","2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer hydro","1996","Kilowatts,  thousand","2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer hydro","1995","Kilowatts,  thousand","2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer hydro","1994","Kilowatts,  thousand","2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer hydro","1993","Kilowatts,  thousand","2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer hydro","1992","Kilowatts,  thousand","2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer hydro","1991","Kilowatts,  thousand","2","1"
"Cameroon","Electricity - net installed capacity of electric power plants, self-producer hydro","1990","Kilowatts,  thousand","2","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2019","Kilowatts,  thousand","917.5","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2018","Kilowatts,  thousand","917.5","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2017","Kilowatts,  thousand","1264.592","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2016","Kilowatts,  thousand","1200","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2015","Kilowatts,  thousand","1167","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2014","Kilowatts,  thousand","1109","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2013","Kilowatts,  thousand","938.8",""
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2012","Kilowatts,  thousand","620","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2011","Kilowatts,  thousand","568.3","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2010","Kilowatts,  thousand","584.1","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2009","Kilowatts,  thousand","603",""
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2008","Kilowatts,  thousand","517.9","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2007","Kilowatts,  thousand","502.5","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2006","Kilowatts,  thousand","320","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2005","Kilowatts,  thousand","300","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2004","Kilowatts,  thousand","275",""
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2003","Kilowatts,  thousand","270",""
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2002","Kilowatts,  thousand","260",""
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2001","Kilowatts,  thousand","70","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","2000","Kilowatts,  thousand","71","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","1999","Kilowatts,  thousand","94","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","1998","Kilowatts,  thousand","94","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","1997","Kilowatts,  thousand","97","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","1996","Kilowatts,  thousand","97","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","1995","Kilowatts,  thousand","97","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","1994","Kilowatts,  thousand","97","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","1993","Kilowatts,  thousand","97","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","1992","Kilowatts,  thousand","97","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","1991","Kilowatts,  thousand","97","1"
"Cameroon","Electricity - total net installed capacity of electric power plants, combustible fuels","1990","Kilowatts,  thousand","97","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2019","Kilowatts,  thousand","267.5",""
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2018","Kilowatts,  thousand","267.5",""
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2017","Kilowatts,  thousand","614.592",""
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2016","Kilowatts,  thousand","550","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2015","Kilowatts,  thousand","517","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2014","Kilowatts,  thousand","517",""
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2013","Kilowatts,  thousand","538.8",""
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2012","Kilowatts,  thousand","320","1"
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2011","Kilowatts,  thousand","268.3",""
"Cameroon","Electricity - net installed capacity of electric power plants, public combustible fuels","2010","Kilowatts,  thousand","284.1",""
